trip_id,substance,block,coder_A,coder_B,word_count,n_scenes,n_convergent,n_solo_A,n_solo_B,n_scenes_rater_A,n_scenes_rater_B,n_miss,n_granularity,n_ambiguity_2a,n_ambiguity_2b,n_scenes_with_L1_any__auditory_hallucination,n_scenes_with_L1_consensus__auditory_hallucination,n_scenes_with_L1_any__gustatory_hallucination,n_scenes_with_L1_consensus__gustatory_hallucination,n_scenes_with_L1_any__modal_status_of_the_hallucination,n_scenes_with_L1_consensus__modal_status_of_the_hallucination,n_scenes_with_L1_any__nonsensory_hallucination,n_scenes_with_L1_consensus__nonsensory_hallucination,n_scenes_with_L1_any__olfactory_hallucination,n_scenes_with_L1_consensus__olfactory_hallucination,n_scenes_with_L1_any__tactile_hallucination,n_scenes_with_L1_consensus__tactile_hallucination,n_scenes_with_L1_any__type_of_visual_alteration,n_scenes_with_L1_consensus__type_of_visual_alteration,n_scenes_with_L1_any__visual_hallucination,n_scenes_with_L1_consensus__visual_hallucination
Brugmansia_01,brugmansia,01-10,Brendan,Noah,2164,8,6,1,1,7,7,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,7,2,4,2
Brugmansia_02,brugmansia,01-10,Brendan,Noah,948,6,0,3,3,3,3,4,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,5,0,3,0
Brugmansia_03,brugmansia,01-10,Brendan,Noah,603,3,3,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,3,1
Brugmansia_04,brugmansia,01-10,Brendan,Noah,1653,15,11,3,1,14,12,2,0,2,0,2,1,0,0,8,0,0,0,0,0,0,0,13,3,7,1
Brugmansia_05,brugmansia,01-10,Brendan,Noah,1540,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_06,brugmansia,01-10,Brendan,Noah,759,7,1,3,3,4,4,3,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,6,1,2,0
Brugmansia_07,brugmansia,01-10,Brendan,Noah,294,3,2,1,0,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,1,1
Brugmansia_08,brugmansia,01-10,Brendan,Noah,681,8,7,1,0,8,7,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,7,3,8,4
Brugmansia_09,brugmansia,01-10,Brendan,Noah,713,5,4,1,0,5,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,1,4,1
Brugmansia_10,brugmansia,01-10,Brendan,Noah,762,4,3,1,0,4,3,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,4,3
Brugmansia_11,brugmansia,11-20,Alessandra,Alessio,779,4,4,0,0,4,4,0,0,0,0,2,1,0,0,3,1,1,0,0,0,2,0,3,2,4,2
Brugmansia_12,brugmansia,11-20,Alessandra,Alessio,1003,10,9,0,1,9,10,0,0,0,1,1,1,1,1,10,3,0,0,0,0,3,0,10,4,9,2
Brugmansia_13,brugmansia,11-20,Alessandra,Alessio,1274,10,8,1,1,9,9,2,0,0,0,1,0,0,0,10,3,0,0,0,0,3,0,10,1,9,3
Brugmansia_14,brugmansia,11-20,Alessandra,Alessio,348,6,5,1,0,6,5,1,0,0,0,0,0,0,0,6,2,0,0,0,0,2,1,6,3,6,1
Brugmansia_15,brugmansia,11-20,Alessandra,Alessio,389,2,1,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0
Brugmansia_16,brugmansia,11-20,Alessandra,Alessio,353,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Brugmansia_17,brugmansia,11-20,Alessandra,Alessio,1116,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Brugmansia_18,brugmansia,11-20,Alessandra,Alessio,1081,6,3,1,2,4,5,2,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,6,3,5,2
Brugmansia_19,brugmansia,11-20,Alessandra,Alessio,488,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,2,1
Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,967,10,5,3,2,8,7,3,0,1,1,1,1,0,0,8,3,0,0,0,0,1,0,10,5,7,5
Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,1847,9,5,4,0,9,5,0,3,0,1,3,1,0,0,7,2,2,0,0,0,0,0,7,0,6,0
Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,2344,26,12,14,0,26,12,9,0,3,2,3,0,0,0,18,5,1,0,1,0,0,0,21,4,16,4
Psilocybe_03,psilocybin,01-10,Alessandra,Brendan,1327,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Psilocybe_04,psilocybin,01-10,Alessandra,Brendan,706,3,2,0,1,2,3,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,3,1
Psilocybe_05,psilocybin,01-10,Alessandra,Brendan,2066,11,5,6,0,11,5,2,0,1,3,1,0,0,0,5,1,3,0,0,0,0,0,8,4,5,3
Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,2355,9,3,6,0,9,3,2,0,2,2,2,0,0,0,0,0,1,0,0,0,2,0,5,3,0,0
Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,1373,8,7,1,0,8,7,0,0,1,0,2,0,0,0,7,4,0,0,0,0,2,0,7,3,7,5
Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,1580,12,6,5,1,11,7,1,3,1,1,0,0,0,0,10,2,0,0,0,0,1,0,11,4,9,2
Psilocybe_09,psilocybin,01-10,Alessandra,Brendan,1203,5,1,4,0,5,1,2,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,5,1,4,0
Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,3027,7,6,1,0,7,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,5,1,0
Psilocybe_11,psilocybin,11-20,Francesco,Susana,2382,8,6,0,2,6,8,1,1,0,0,2,0,0,0,6,2,1,1,0,0,0,0,6,0,4,3
Psilocybe_12,psilocybin,11-20,Francesco,Susana,2695,10,6,2,2,8,8,1,1,2,0,1,1,0,0,5,3,1,0,0,0,1,0,8,3,6,3
Psilocybe_13,psilocybin,11-20,Francesco,Susana,1597,13,9,1,3,10,12,2,0,1,1,0,0,0,0,10,7,0,0,0,0,2,0,11,4,10,4
Psilocybe_14,psilocybin,11-20,Francesco,Susana,1476,6,3,1,2,4,5,0,0,1,2,0,0,0,0,5,1,1,1,0,0,0,0,4,1,2,1
Psilocybe_15,psilocybin,11-20,Francesco,Susana,1953,16,9,4,3,13,12,3,1,0,3,2,1,0,0,11,1,4,0,0,0,0,0,11,1,4,1
Psilocybe_16,psilocybin,11-20,Francesco,Susana,2683,9,5,1,3,6,8,1,0,1,2,0,0,0,0,6,0,0,0,0,0,1,0,9,1,5,1
Psilocybe_17,psilocybin,11-20,Francesco,Susana,2372,7,6,1,0,7,6,1,0,0,0,2,2,0,0,6,4,1,0,0,0,2,1,7,0,5,3
Psilocybe_18,psilocybin,11-20,Francesco,Susana,5531,8,6,2,0,8,6,2,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,8,3,6,3
Psilocybe_19,psilocybin,11-20,Francesco,Susana,2210,11,1,3,7,4,8,3,0,1,6,0,0,0,0,8,1,1,0,0,0,5,0,11,0,0,0
Psilocybe_20,psilocybin,11-20,Francesco,Susana,3093,14,6,8,0,14,6,3,1,4,0,0,0,0,0,6,0,0,0,0,0,3,0,13,5,0,0
